,title,company,place,salary,publish_time
265,大数据培训讲师,北京协英科技顾问有限公司,杭州-滨江区,1-2万/月,03-31
266,微信运营专员,深圳市诗伊美服饰有限公司,深圳-宝安区,6-8千/月,03-31
267,商品专员,靓度鞋业成都有限公司,成都-新都区,3-3.5千/月,03-31
268,大数据分析员,凯诺蒂国际贸易（深圳）有限公司,深圳-福田区,1-1.5万/月,03-31
269,数据主管/专员,杭州伯灵恒服饰有限公司,杭州-滨江区,6-8千/月,03-31
270,实体店运营/微商运营/专卖店运营策划/电商/近地铁,成都康利达科技有限公司,成都-武侯区,0.5-1万/月,03-31
271,急聘贝壳链家德佑房产经纪人,温州德佑地产,温州,0.8-1万/月,03-31
272,初级挖掘工程师,国网信通亿力科技有限责任公司,福州,0.6-1.5万/月,03-31
273,运营总监,深圳市旅联资讯有限公司,深圳-福田区,1.5-1.8万/月,03-31
274,大数据开发工程师,深圳市德科信息技术有限公司,深圳-福田区,1-1.5万/月,03-31
275,实时数据平台高级架构师,屈臣氏珠海横琴管理咨询有限公司深...,深圳-罗湖区,3-4万/月,03-31
276,游戏策划师,广州百奇盾软件开发有限公司,广州-番禺区,1-1.5万/月,03-31
277,数据服务工程师（南通）,江苏蚂蚁云数据技术有限公司,南通,1-1.5万/月,03-31
278,TM&ITEI-数据分析工程师（深圳）,维谛技术有限公司,深圳-南山区,1.5-2.5万/月,03-31
279,数据分析师,北京微播易科技股份有限公司,深圳-南山区,0.8-1万/月,03-31
280,E-commerce Insight Director,上海点正互联网科技有限公司,上海,2.5-3.5万/月,03-31
281,Java开发工程师,成都达拓智通科技有限公司,成都-武侯区,0.8-1万/月,03-31
282,安全数据分析师,公安部第三研究所信息安全技术处,上海,1-1.5万/月,03-31
283,运营总监,港泓信息技术（上海）有限公司,北京-朝阳区,2.5-5万/月,03-31
284,商品数据分析,阅海企业管理咨询（广州）有限公司...,广州-海珠区,0.9-1.2万/月,03-31
285,BI项目经理,上海音智达信息技术有限公司,北京-朝阳区,2-3万/月,03-31
286,新电商运营总监,上海悟瀚信息技术有限公司,上海-静安区,2.5-3万/月,03-31
287,海外市场运营经理,上海掌越科技有限公司,上海,2-2.5万/月,03-31
288,商户运营总监,上海路天信息科技有限公司,上海-黄浦区,2-2.5万/月,03-31
289,反欺诈策略分析,同程旅游金融业务,上海-浦东新区,1.2-2.2万/月,03-31
290,酒店运营数据分析师,湖北吉楚酒店有限公司,异地招聘,4.5-6千/月,03-31
291,硬件产品助理,泽瑞裕晨科技集团有限公司,青岛-崂山区,4-6千/月,03-31
292,IT数据分析师,立邦投资有限公司,上海-浦东新区,2-2.5万/月,03-31
293,大数据开发工程师,静瞳海外投资顾问（深圳）有限公司...,广州,1.5-2.5万/月,03-31
294,"SEO专员,待遇面谈，不低于8K",深圳华盛宏贸易有限公司,深圳-龙岗区,0.8-1万/月,03-31
295,Python 数据分析师,长沙紫檀数据科技有限公司,长沙-岳麓区,0.6-1.3万/月,03-31
296,会员经理,万客隆（广州）食品有限公司,广州,1.5-1.8万/月,03-31
297,大数据开发工程师,四川九洲北斗导航与位置服务有限公...,成都-金牛区,0.6-2万/月,03-31
298,数据治理分析师,手盟网络,广州-天河区,1-1.5万/月,03-31
