,title,company,place,salary,publish_time
7820,催收专员,成都东融商务信息咨询有限公司,成都-锦江区,6-8千/月,09-27
7821,催收专员+综薪7仟+有无经验均可,乐美思贸易（深圳）有限公司,南阳,3.9-9.9千/月,09-27
7822,电话催收专员,上海狐獴人力资源有限公司杭州分公...,杭州-滨江区,0.8-1万/月,09-27
7823,催收专员/风控,北京瑞联网络科技有限公司,成都-高新区,4.5-7千/月,09-27
7824,催收专员（五险一金 月休8天）,无锡拍拍贷金融信息服务有限公司,无锡,6-8千/月,09-27
7825,催收专员（五险一金 月休8天）,无锡拍拍贷金融信息服务有限公司,无锡,6-8千/月,09-26
7826,电话催收专员6K以上+,深圳中海润合投资有限公司,深圳-龙华新区,6-8千/月,09-26
7827,粤语电话催收（内催）（M0-M1),渣打银行（中国）有限公司深圳分行...,深圳-罗湖区,5-8千/月,11-26
7828,渣打银行正编-粤语电话催收（M0-M3),渣打银行（中国）有限公司深圳分行...,深圳-罗湖区,5-8千/月,11-26
7829,渣打银行正编-电话催收（M0-M3),渣打银行（中国）有限公司深圳分行...,深圳-罗湖区,5-8千/月,11-26
7830,M1-M3催收员（提供住宿）,深圳市高斯电子有限公司,深圳-宝安区,0.7-1.4万/月,11-26
7831,招联催收朝九晚六周末双休,武汉后起之秀人力资源有限公司,武汉-洪山区,4.5-6千/月,11-26
7832,招联金融催收(五险一金),湖北省弘一人力资源管理有限公司,武汉-洪山区,4.5-6千/月,11-26
7833,银行不良资产回收专员,CBC（北京）信用管理有限公司广东...,广州-白云区,6-8千/月,11-26
7834,电话催收储备干部+年终奖,武汉夏服企业管理有限公司,武汉-洪山区,0.8-1万/月,11-26
