,title,company,place,salary,publish_time
250,数据挖掘(J10216),快助（天津）科技有限公司,天津-和平区,0.8-1万/月,03-13
251,高级-资深数据挖掘/算法工程师,上海洋码头网络技术有限公司,上海-静安区,2.5-3万/月,03-13
252,数据挖掘分析师,衣恋时装（上海）有限公司,上海-闵行区,0.8-1.5万/月,03-13
253,资深数据挖掘工程师,仟金顶网络科技有限公司,杭州-滨江区,1.8-3.5万/月,03-13
254,院士专家工作室研发管理（数据挖掘）,北京城建设计发展集团股份有限公司...,北京,0.8-1.6万/月,03-12
255,高级算法-数据挖掘工程师,上海商涌网络科技有限公司,上海-浦东新区,2.5-5万/月,03-12
256,[ID2757]数据挖掘工程师,联仁健康医疗大数据科技股份有限公...,上海-浦东新区,20-30万/年,03-11
257,数据挖掘工程师,深圳市紫金支点技术股份有限公司,深圳-南山区,1-2万/月,03-11
258,数据挖掘工程师,南京瑞玥科技有限公司,无锡,0.7-1.5万/月,03-11
259,数据挖掘工程师,广州市网迅信息技术有限公司,广州-越秀区,1-1.5万/月,03-11
260,大数据挖掘分析、机器学习算法研究员,中国科学院信息工程研究所,异地招聘,2.5-3.5万/月,03-10
261,数据挖掘工程师,上海联蔚数据科技有限公司,上海-静安区,1.5-3万/月,03-10
262,数据挖掘工程师,上海玖数软件有限公司,上海-普陀区,0.8-2万/月,03-09
263,数据挖掘工程师,广州市康诚信息科技有限公司,深圳-福田区,1-1.5万/月,03-08
264,呼叫中心客服-数据挖掘渠道 ID-40282,英域成语言培训（上海）有限公司（...,广州-越秀区,3-5千/月,03-08
265,数据挖掘工程师,明阳智慧能源集团股份公司,深圳-南山区,1-2万/月,03-07
266,数据挖掘工程师,长春启配信息技术服务有限公司,长春-高新技术...,10-20万/年,03-07
267,数据挖掘算法,深圳华云信息系统有限公司,深圳-福田区,1-2万/月,03-06
268,高级数据挖掘工程师,招联消费金融有限公司,深圳-南山区,40-50万/年,03-05
269,数据挖掘工程师,上海心灵伙伴览育信息技术有限公司...,上海-普陀区,2-3万/月,03-04
270,高级数据挖掘工程师,武汉精测电子集团股份有限公司,武汉,1.3-1.8万/月,03-04
271,数据挖掘工程师,青岛禧泰房地产数据有限公司,青岛-市南区,0.6-1.2万/月,03-02
272,数据挖掘工程师,上海诺祺科技有限公司,广州-天河区,1-1.5万/月,02-28
273,数据挖掘工程师,广州安望信息科技有限公司,异地招聘,1-2万/月,02-28
274,数据挖掘（NLP方向）,鸿泰鼎石资产管理有限责任公司,北京-丰台区,1.8-2.5万/月,02-28
275,数据挖掘算法工程师,广东智源信息技术有限公司,广州,0.8-1.5万/月,02-28
276,数据挖掘算法工程师,广州同盾信研科技有限公司,杭州-余杭区,1.2-2.5万/月,02-27
277,数据挖掘工程师,上海游民网络科技有限公司,广州,1.5-2.5万/月,02-27
278,数据挖掘师—北京分公司,中数通信息有限公司,北京-海淀区,0.8-1万/月,02-27
279,数据挖掘工程师(J10027),珠海格力电器股份有限公司,珠海,0.8-1万/月,02-27
280,数据挖掘实习生（毕业可转正）2020届,北京思特奇信息技术股份有限公司郑...,郑州-高新区,6-8千/月,02-26
281,高级C/C++开发工程师(数据挖掘与分析),北京智维盈讯网络科技有限公司,北京-朝阳区,2-3万/月,02-25
282,高级数据挖掘工程师,乐普（北京）医疗器械股份有限公司...,北京,1-2万/月,02-25
283,数据挖掘分析（出差东莞）,深圳索信达数据技术有限公司,异地招聘,1.2-2万/月,02-24
284,数据挖掘工程师,上海溯因智能科技有限责任公司,上海-闵行区,12-20万/年,02-23
285,数据挖掘工程师,体奥动力（北京）体育传播有限公司...,北京-朝阳区,1.8-3万/月,02-23
